"name","returnPeriod","displayDate","value"
"tx260_1981_2010","y2",2016-04-06,21.579756402609
"tx260_1981_2010","y2",2016-04-07,21.770036379821
"tx260_1981_2010","y2",2016-04-08,21.9574636808717
"tx260_1981_2010","y2",2016-04-09,22.1417910092848
"tx260_1981_2010","y2",2016-04-10,22.3227710681568
"tx260_1981_2010","y2",2016-04-11,22.5001565602684
"tx260_1981_2010","y2",2016-04-12,22.6737001881987
"tx260_1981_2010","y2",2016-04-13,22.8431546544428
"tx260_1981_2010","y2",2016-04-14,23.0082726615319
"tx260_1981_2010","y2",2016-04-15,23.1688322263057
"tx260_1981_2010","y2",2016-04-16,23.3248600522466
"tx260_1981_2010","y2",2016-04-17,23.476523995508
"tx260_1981_2010","y2",2016-04-18,23.6239935334376
"tx260_1981_2010","y2",2016-04-19,23.7674381444405
"tx260_1981_2010","y2",2016-04-20,23.9070273079444
"tx260_1981_2010","y2",2016-04-21,24.0429305043642
"tx260_1981_2010","y2",2016-04-22,24.1753172150653
"tx260_1981_2010","y2",2016-04-23,24.3043569223248
"tx260_1981_2010","y2",2016-04-24,24.4302191092918
"tx260_1981_2010","y2",2016-04-25,24.5530732599461
"tx260_1981_2010","y2",2016-04-26,24.6730888590557
"tx260_1981_2010","y2",2016-04-27,24.7904353921325
"tx260_1981_2010","y2",2016-04-28,24.9052823453867
"tx260_1981_2010","y2",2016-04-29,25.0177992056803
"tx260_1981_2010","y2",2016-04-30,25.1281554604782
"tx260_1981_2010","y2",2016-05-01,25.2365205977988
"tx260_1981_2010","y2",2016-05-02,25.3430641058715
"tx260_1981_2010","y2",2016-05-03,25.4479554559141
"tx260_1981_2010","y2",2016-05-04,25.5513640924167
"tx260_1981_2010","y2",2016-05-05,25.6534594577609
"tx260_1981_2010","y2",2016-05-06,25.7544109944723
"tx260_1981_2010","y2",2016-05-07,25.85438814515
"tx260_1981_2010","y2",2016-05-08,25.9535603523974
"tx260_1981_2010","y2",2016-05-09,26.0520970587547
"tx260_1981_2010","y2",2016-05-10,26.1501677066331
"tx260_1981_2010","y2",2016-05-11,26.2479356913489
"tx260_1981_2010","y2",2016-05-12,26.345487672857
"tx260_1981_2010","y2",2016-05-13,26.4428575642244
"tx260_1981_2010","y2",2016-05-14,26.5400782412946
"tx260_1981_2010","y2",2016-05-15,26.6371825794798
"tx260_1981_2010","y2",2016-05-16,26.7342034537048
"tx260_1981_2010","y2",2016-05-17,26.8311737383539
"tx260_1981_2010","y2",2016-05-18,26.9281263072184
"tx260_1981_2010","y2",2016-05-19,27.0250940334469
"tx260_1981_2010","y2",2016-05-20,27.122109789496
"tx260_1981_2010","y2",2016-05-21,27.2192064470841
"tx260_1981_2010","y2",2016-05-22,27.3164168771459
"tx260_1981_2010","y2",2016-05-23,27.4137739497892
"tx260_1981_2010","y2",2016-05-24,27.5113105342526
"tx260_1981_2010","y2",2016-05-25,27.6090594988663
"tx260_1981_2010","y2",2016-05-26,27.707053711013
"tx260_1981_2010","y2",2016-05-27,27.8053260370919
"tx260_1981_2010","y2",2016-05-28,27.9039093424832
"tx260_1981_2010","y2",2016-05-29,28.0028364915156
"tx260_1981_2010","y2",2016-05-30,28.1021403474341
"tx260_1981_2010","y2",2016-05-31,28.2018537723708
"tx260_1981_2010","y2",2016-06-01,28.3020096273166
"tx260_1981_2010","y2",2016-06-02,28.4026407720946
"tx260_1981_2010","y2",2016-06-03,28.503780065336
"tx260_1981_2010","y2",2016-06-04,28.6054603644567
"tx260_1981_2010","y2",2016-06-05,28.7077145256363
"tx260_1981_2010","y2",2016-06-06,28.8105672565284
"tx260_1981_2010","y2",2016-06-07,28.913906415125
"tx260_1981_2010","y2",2016-06-08,29.0175063069649
"tx260_1981_2010","y2",2016-06-09,29.1211378010408
"tx260_1981_2010","y2",2016-06-10,29.2245717669901
"tx260_1981_2010","y2",2016-06-11,29.3275790751472
"tx260_1981_2010","y2",2016-06-12,29.4299305965945
"tx260_1981_2010","y2",2016-06-13,29.5313972032112
"tx260_1981_2010","y2",2016-06-14,29.6317497677202
"tx260_1981_2010","y2",2016-06-15,29.730759163733
"tx260_1981_2010","y2",2016-06-16,29.8281962657926
"tx260_1981_2010","y2",2016-06-17,29.9238319494143
"tx260_1981_2010","y2",2016-06-18,30.0174370911251
"tx260_1981_2010","y2",2016-06-19,30.1087825685002
"tx260_1981_2010","y2",2016-06-20,30.1976392601982
"tx260_1981_2010","y2",2016-06-21,30.2837780459942
"tx260_1981_2010","y2",2016-06-22,30.3669698068109
"tx260_1981_2010","y2",2016-06-23,30.4469854247472
