"displayDate","returnPeriod","value","baseName","station"
2016-01-01,"y2",-7.95359044578725,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-02,"y2",-7.97699543835527,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-03,"y2",-7.99599006974164,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-04,"y2",-8.0107508205024,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-05,"y2",-8.02145418883097,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-06,"y2",-8.02827669022665,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-07,"y2",-8.03139485716368,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-08,"y2",-8.03098523876134,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-09,"y2",-8.02722440045477,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-10,"y2",-8.02028892366679,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-11,"y2",-8.01035540548069,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-12,"y2",-7.99760045831403,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-13,"y2",-7.98220070959362,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-14,"y2",-7.96433280143153,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-15,"y2",-7.94417339030237,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-16,"y2",-7.92189914672183,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-17,"y2",-7.89768675492645,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-18,"y2",-7.87171291255476,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-19,"y2",-7.84415433032988,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-20,"y2",-7.81518773174345,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-21,"y2",-7.78498985274112,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-22,"y2",-7.75373744140955,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-23,"y2",-7.72160725766503,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-24,"y2",-7.68877607294358,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-25,"y2",-7.65542066989293,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-26,"y2",-7.62171784206601,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-27,"y2",-7.58784439361628,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-28,"y2",-7.55393472404453,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-29,"y2",-7.51991290562279,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-30,"y2",-7.48563794030337,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-01-31,"y2",-7.45096882013278,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-02-01,"y2",-7.41576454626222,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-02-02,"y2",-7.37988412865421,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-02-03,"y2",-7.3431865857912,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-02-04,"y2",-7.30553094438624,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-02-05,"y2",-7.26677623909573,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-02-06,"y2",-7.22678151223433,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
2016-02-07,"y2",-7.18540581349188,"KNMI14____ref_tn___19810101-20101231_v3.2","380"
