"displayDate","returnPeriod","value","baseName","station"
2016-01-01,"y2",-6.58767653675286,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-02,"y2",-6.58937632543951,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-03,"y2",-6.58587619042682,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-04,"y2",-6.57744294453698,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-05,"y2",-6.56434342684834,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-06,"y2",-6.5468445017036,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-07,"y2",-6.52521305772754,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-08,"y2",-6.49971600685439,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-09,"y2",-6.47062028336513,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-10,"y2",-6.43819284293465,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-11,"y2",-6.40270066168918,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-12,"y2",-6.36441073527384,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-13,"y2",-6.32359007793074,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-14,"y2",-6.28050572158751,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-15,"y2",-6.23542471495659,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-16,"y2",-6.18861412264519,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-17,"y2",-6.14034102427638,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-18,"y2",-6.09087251362094,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-19,"y2",-6.04047569774059,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-20,"y2",-5.98941769614234,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-21,"y2",-5.93796563994427,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-22,"y2",-5.88638667105277,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-23,"y2",-5.83494794135128,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
2016-01-24,"y2",-5.78391661190081,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","370"
